 CPU    NFS   CIFS   HTTP   Total     Net   kB/s    Disk   kB/s    Tape   kB/s   Cache  Cache    CP           CP_Ty               CP_Ph       Disk   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s   NVMeF   kB/s   kB/s   NVMeT   kB/s   kB/s
                                       in    out    read  write    read  write     age    hit  time  [T--H--F--N--B--O--#--:]  [n--v--p--f]   util                            in    out      in    out             in    out             in    out
 81% 477368      0      0  477377  117863 2076892  2688591      24       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       9      0      0       0      0       0      0       0      0      0       0      0      0
 69% 384393      0      0  384393   97483 1688658  2163181       0       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     12%       0      0      0       0      0       0      0       0      0      0       0      0      0
 74% 436930      0      0  436955  105842 1809514  2454495     267       0      0     2     74%    3%   1--0--0--0--0--0--0--0    0--0--1--0     15%      25      0      0       0      0       0      0       0      0      0       0      0      0
 77% 468120      0      0  468130  114585 1991622  2623704    1990       0      0     2     74%    2%   0--0--0--0--0--0--0--0    0--0--0--0     15%      10      0      0       0      0       0      0       0      0      0       0      0      0
 77% 479016      0      0  479018  119264 2078747  2665168      12       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       2      0      0       0      0       0      0       0      0      0       0      0      0
 CPU    NFS   CIFS   HTTP   Total     Net   kB/s    Disk   kB/s    Tape   kB/s   Cache  Cache    CP           CP_Ty               CP_Ph       Disk   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s   NVMeF   kB/s   kB/s   NVMeT   kB/s   kB/s
                                       in    out    read  write    read  write     age    hit  time  [T--H--F--N--B--O--#--:]  [n--v--p--f]   util                            in    out      in    out             in    out             in    out
 85% 497290      0      0  497301  121892 2146940  2780200      24       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     18%      11      0      0       0      0       0      0       0      0      0       0      0      0
 79% 447425      0      0  447456  106556 1866485  2508028       0       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%      31      0      0       0      0       0      0       0      0      0       0      0      0
 82% 499074      0      0  499306  121475 2128339  2816607    7469       0      0     2     74%    6%   0--0--0--0--0--0--0--0    0--0--0--0     18%     232      0      0       0      0       0      0       0      0      0       0      0      0
 78% 483192      0      0  484082  117616 2061251  2719480       0       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%     890      0      0       0      0       0      0       0      0      0       0      0      0
 77% 468077      0      0  468100  116180 2027443  2626480      12       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%      23      0      0       0      0       0      0       0      0      0       0      0      0
 78% 480689      0      0  480695  116942 2038755  2699205      24       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       6      0      0       0      0       0      0       0      0      0       0      0      0
 76% 456666      0      0  456668  113780 1983534  2549456       0       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%       2      0      0       0      0       0      0       0      0      0       0      0      0
 80% 476030      0      0  476034  113330 1980857  2663469      24       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     17%       4      0      0       0      0       0      0       0      0      0       0      0      0
 82% 474484      0      0  474491  117453 2062073  2661644       0       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     17%       7      0      0       0      0       0      0       0      0      0       0      0      0
 80% 506827      0      0  506828  122321 2156066  2863044    5840       0      0     2     74%    6%   0--0--0--0--0--0--0--0    0--0--0--0     17%       1      0      0       0      0       0      0       0      0      0       0      0      0
 80% 501337      0      0  501346  122384 2149932  2814064      24       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       9      0      0       0      0       0      0       0      0      0       0      0      0
 80% 498536      0      0  498536  121905 2143861  2799536       0       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       0      0      0       0      0       0      0       0      0      0       0      0      0
 80% 512099      0      0  512099  123868 2185896  2865028    7712       0      0     2     74%    6%   0--0--0--0--0--0--0--0    0--0--0--0     19%       0      0      0       0      0       0      0       0      0      0       0      0      0
 79% 495614      0      0  495621  120017 2113248  2765007       0       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       7      0      0       0      0       0      0       0      0      0       0      0      0
 84% 499727      0      0  499744  120757 2135876  2795189      12       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     17%      17      0      0       0      0       0      0       0      0      0       0      0      0
